annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;numero_jokerplus;devise;
2018002;MERCREDI;03/01/2018;05/03/2018;34;44;27;23;4;4;4-23-27-34-44+4;0;3000000;1;100000;50;1000;322;500;2221;50;16403;20;28772;10;236124;5;359238;2,2;10;20000;N 4012 4039,R 1680 4351,E 9238 0445,T 7333 6584,R 8590 8496,F 9898 1190,J 8889 7029,B 2897 4000,I 4108 0219,V 6804 1041;6 971 824;eur;
2018001;LUNDI   ;01/01/2018;03/03/2018;7;43;10;9;14;1;7-9-10-14-43+1;0;2000000;1;100000;21;1000;407;500;1573;50;17688;20;19267;10;224641;5;199827;2,2;10;20000;V 5338 4379,H 3209 2912,H 9213 7370,N 4784 9073,J 2294 0215,F 9064 1085,J 6125 5849,H 9516 8802,C 7019 5552,P 2116 4136;5 300 982;eur;
2017156;SAMEDI  ;30/12/2017;01/03/2018;40;28;35;13;12;8;12-13-28-35-40+8;1;3000000;3;100000;43;1000;565;500;2952;50;26440;20;46067;10;396931;5;588293;2,2;10;20000;T 4625 9093,O 0896 0245,P 4795 4851,Q 8671 0194,N 5953 3552,A 3607 9304,D 8969 6300,I 9768 1432,Q 5860 4565,N 4732 6489;3 233 795;eur;
2017155;MERCREDI;27/12/2017;26/02/2018;22;6;48;7;14;8;6-7-14-22-48+8;0;2000000;0;100000;42;1000;497;500;2392;50;21521;20;31036;10;288047;5;354517;2,2;10;20000;O 3231 2719,Q 3357 3751,D 0437 3201,N 7236 3631,P 1571 7283,O 7649 2053,O 3266 4046,V 4273 0487,V 1311 7782,F 1066 2782;4 385 951;eur;
2017154;LUNDI   ;25/12/2017;24/02/2018;3;31;6;10;29;8;3-6-10-29-31+8;1;3000000;5;100000;49;1000;507;500;1849;50;17966;20;21926;10;208018;5;249500;2,2;10;20000;B 7746 5779,R 2237 7891,L 9095 8204,Q 6935 9192,Q 1968 9715,B 8507 6946,H 9045 2041,I 8754 1731,H 1288 8298,K 7210 3479;8 144 040;eur;
2017153;SAMEDI  ;23/12/2017;22/02/2018;4;6;44;8;48;10;4-6-8-44-48+10;0;2000000;4;100000;59;1000;561;500;2413;50;27384;20;33659;10;395738;5;424226;2,2;10;20000;I 2490 8542,C 1840 3711,F 5127 3828,Q 0943 0343,E 9243 5504,G 4314 6909,V 3687 7529,L 5096 4805,F 0331 9230,N 7494 6156;0 964 301;eur;
2017152;MERCREDI;20/12/2017;19/02/2018;6;11;13;24;10;9;6-10-11-13-24+9;0;3000000;4;100000;76;1000;1040;500;3130;50;33340;20;34476;10;344056;5;323298;2,2;10;20000;O 9699 9114,M 4465 7586,M 5553 8795,N 9191 5767,J 2836 7829,P 6768 5661,B 6784 1878,J 6724 5247,L 5988 8779,O 0728 7829;4 654 217;eur;
2017151;LUNDI   ;18/12/2017;17/02/2018;11;39;48;10;29;9;10-11-29-39-48+9;0;2000000;0;100000;29;1000;225;500;1277;50;11615;20;19810;10;184346;5;265592;2,2;10;20000;M 3485 4494,A 3118 2562,C 3682 6223,E 9432 5080,M 9586 3966,J 9203 9415,S 6784 4154,D 6449 9484,V 3468 6081,F 3371 6800;4 933 417;eur;
2017150;SAMEDI  ;16/12/2017;15/02/2018;48;20;15;9;49;6;9-15-20-48-49+6;1;6000000;3;100000;61;1000;514;500;2539;50;24648;20;37365;10;360541;5;492695;2,2;10;20000;D 0322 4823,H 5086 4819,E 5323 7465,L 6748 8728,V 0271 4495,D 3583 7240,B 3096 5790,V 3499 2431,T 5590 5757,H 5376 9932;1 302 457;eur;
2017149;MERCREDI;13/12/2017;12/02/2018;17;49;24;43;28;8;17-24-28-43-49+8;0;5000000;2;100000;45;1000;370;500;1918;50;17617;20;27909;10;256743;5;370656;2,2;10;20000;V 2111 4940,I 4034 4059,A 1354 6192,J 2822 5720,L 6887 0550,T 5500 3068,L 4515 1563,S 6110 7006,D 7972 5611,J 3189 1393;9 428 419;eur;
2017148;LUNDI   ;11/12/2017;10/02/2018;47;34;26;43;29;4;26-29-34-43-47+4;0;4000000;1;100000;20;1000;242;500;1129;50;10517;20;17129;10;158303;5;285709;2,2;10;20000;H 4214 2715,N 6293 5731,U 5411 5946,O 8033 6590,H 9785 3350,M 9030 5836,F 6392 0493,V 2369 6489,S 2720 0502,N 8337 5816;7 614 744;eur;
2017147;SAMEDI  ;09/12/2017;08/02/2018;48;49;10;46;23;8;10-23-46-48-49+8;0;3000000;1;100000;35;1000;399;500;2280;50;20381;20;33362;10;299417;5;498167;2,2;10;20000;N 9816 4339,V 6194 1179,G 8817 4990,Q 1442 2884,R 7154 5044,R 8313 5663,M 0245 1831,K 7655 0314,E 5383 8106,G 5934 2389;0 240 465;eur;
2017146;MERCREDI;06/12/2017;05/02/2018;27;12;38;7;30;1;7-12-27-30-38+1;0;2000000;3;100000;54;1000;667;500;1833;50;24467;20;23808;10;303094;5;268933;2,2;10;20000;P 2271 2790,H 2403 9195,A 2549 7728,S 6725 3371,A 6763 7890,K 0795 0670,U 9658 1508,C 3743 3310,P 8852 5787,O 3277 7024;6 095 939;eur;
2017145;LUNDI   ;04/12/2017;03/02/2018;43;32;15;23;41;8;15-23-32-41-43+8;1;2000000;0;100000;39;1000;344;500;1284;50;11709;20;17198;10;160411;5;275290;2,2;10;20000;A 9020 4789,R 2960 3808,E 3328 8865,L 0055 0992,J 0151 7535,S 4748 4665,Q 5586 7543,Q 7776 3987,U 9718 6523,C 5871 8981;4 997 854;eur;
2017144;SAMEDI  ;02/12/2017;01/02/2018;24;45;39;33;35;1;24-33-35-39-45+1;1;13000000;0;100000;39;1000;490;500;1908;50;21794;20;26925;10;316281;5;453789;2,2;10;20000;R 1147 2201,V 9246 9434,V 9243 2441,S 8576 1062,O 9206 4643,H 7900 1968,M 9795 6241,S 3561 9423,I 2305 2830,H 7976 4932;0 255 964;eur;
2017143;MERCREDI;29/11/2017;29/01/2018;8;20;3;12;13;4;3-8-12-13-20+4;0;12000000;13;100000;111;1000;1246;500;3747;50;36375;20;40685;10;384291;5;394885;2,2;10;20000;T 5873 7109,S 9234 2673,K 3888 2685,C 7638 1870,J 3090 6562,T 1035 1119,C 1055 1558,U 6806 6684,I 6242 6017,L 2674 2542;2 783 783;eur;
2017142;LUNDI   ;27/11/2017;27/01/2018;36;5;6;39;46;6;5-6-36-39-46+6;0;11000000;1;100000;22;1000;176;500;1273;50;9880;20;19712;10;176934;5;298960;2,2;10;20000;D 4151 7427,G 7463 0912,V 9228 0845,E 3726 3205,C 0257 9518,I 9644 2605,O 6351 7432,V 9226 0837,M 3124 3868,E 6268 8838;6 225 638;eur;
2017141;SAMEDI  ;25/11/2017;25/01/2018;43;1;48;2;47;10;1-2-43-47-48+10;0;10000000;0;100000;45;1000;438;500;1739;50;17664;20;28678;10;310063;5;441634;2,2;10;20000;G 0836 1676,H 0257 7632,P 4645 8783,I 3682 8353,U 5973 3099,A 4594 6452,L 4032 9497,D 3579 3823,Q 0919 0577,T 0444 2859;3 514 909;eur;
2017140;MERCREDI;22/11/2017;22/01/2018;30;1;10;2;39;8;1-2-10-30-39+8;0;9000000;1;100000;37;1000;340;500;2025;50;19163;20;29704;10;275563;5;393550;2,2;10;20000;E 5030 9157,U 6266 4961,I 9291 8158,R 2248 4946,M 7681 9369,H 8923 6481,G 1809 9895,G 8051 3137,I 4639 2033,U 0387 5918;0 104 334;eur;
2017139;LUNDI   ;20/11/2017;20/01/2018;6;30;40;43;35;3;6-30-35-40-43+3;0;8000000;0;100000;28;1000;188;500;1119;50;10180;20;18766;10;163721;5;323530;2,2;10;20000;N 6662 4119,S 5046 0491,H 3917 1194,I 8723 3588,I 1785 8818,I 0713 5798,A 8965 7669,H 0700 6066,Q 3738 8878,R 8926 1461;1 974 110;eur;
